what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429415910427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429415923436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429415923554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429415925675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429415939340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429415939865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429416963033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417015119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417022864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429417036765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417040535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417062326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429417063414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417071427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417081451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429417083910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1429417113468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1429417130031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429417133828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1429417159017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1429417159424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1429417159909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1429417160284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429417161464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417214071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417256500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429417263841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417296878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417297031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417297153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417328660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429417343824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429426891553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429426926362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429426934001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429426956270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429426958745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429426974572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429426983031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1429426991197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429426996780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427037882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427039063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427050443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427051910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427129375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427193294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427197446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427272607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427294113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429427357457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429431495506
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429431496521
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1429431496849
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1429431496849
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1429431496999
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1429431497000
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1429431497052
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1429431497132
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1429431497132
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1429431497133
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1429431497164
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1429431497181
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1429431497241
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1429431497241
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1429431497241
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1429431497241
